tweet_id,rating_numerator,rating_denominator,name,stages,year,month,day,favorite_count,retweet_count,img_num,p1,p1_conf,p1_dog,p2,p2_conf,p2_dog,p3,p3_conf,p3_dog
830097400375152640,13,10,Samson,,2017,February,Friday,10804,3455,4,Toy_Poodle,0.442713,True,Pomeranian,0.142073,True,Pekinese,0.125745,True
829878982036299777,12,10,Loki,doggo,2017,February,Friday,0,5757,1,Golden_Retriever,0.6173890000000001,True,Labrador_Retriever,0.337053,True,Tennis_Ball,0.00855442,False
829861396166877184,12,10,Mia,,2017,February,Friday,13441,2243,1,Border_Terrier,0.394486,True,Staffordshire_Bullterrier,0.3765739999999999,True,American_Staffordshire_Terrier,0.0312916,True
829501995190984704,12,10,Leo,,2017,February,Thursday,34913,12224,1,French_Bulldog,0.950851,True,Pekinese,0.0151996,True,Pug,0.0110936,True
829449946868879360,11,10,,doggo,2017,February,Wednesday,11519,2329,1,Labrador_Retriever,0.315163,True,Golden_Retriever,0.1532099999999999,True,Pekinese,0.132791,True
829374341691346946,13,10,Astrid,doggo,2017,February,Wednesday,38074,10706,1,Staffordshire_Bullterrier,0.757547,True,American_Staffordshire_Terrier,0.14995,True,Chesapeake_Bay_Retriever,0.0475226999999999,True
829141528400556032,12,10,Malcolm,,2017,February,Wednesday,26952,8530,2,Golden_Retriever,0.57314,True,Cocker_Spaniel,0.111159,True,Gibbon,0.0941268999999999,False
829011960981237760,13,10,Dexter,,2017,February,Tuesday,58302,18627,2,Boxer,0.312221,True,Dalmatian,0.24404,True,Conch,0.130273,False
828770345708580865,13,10,Alfie,,2017,February,Tuesday,28085,6746,1,Seat_Belt,0.765979,False,Chesapeake_Bay_Retriever,0.0338986,True,Polecat,0.0272515999999999,False
828708714936930305,10,10,Fiona,,2017,February,Monday,40241,12882,1,Hippopotamus,0.942911,False,Mexican_Hairless,0.00838837,True,Ice_Lolly,0.00620647,False
828650029636317184,14,10,No name,,2017,February,Monday,10467,1544,1,Golden_Retriever,0.649209,True,Chesapeake_Bay_Retriever,0.19856,True,Vizsla,0.0561999,True
828409743546925057,12,10,Mutt,,2017,February,Monday,6898,1305,1,Teddy,0.908457,False,Toy_Poodle,0.0180397999999999,True,Standard_Poodle,0.0126671,True
828408677031882754,12,10,Bear,,2017,February,Monday,8398,1477,1,Weimaraner,0.1330329999999999,True,Chesapeake_Bay_Retriever,0.092227,True,American_Staffordshire_Terrier,0.0650945,True
828381636999917570,14,10,Doobert,doggo,2017,February,Sunday,13864,2554,1,Bedlington_Terrier,0.3925349999999999,True,Labrador_Retriever,0.0890217,True,Clumber,0.0817998,True
828376505180889089,13,10,Beebop,,2017,February,Sunday,8112,1216,1,American_Staffordshire_Terrier,0.5230859999999999,True,Staffordshire_Bullterrier,0.186168,True,Chihuahua,0.0420894,True
828372645993398273,12,10,Alexander,,2017,February,Sunday,13756,3344,1,Malamute,0.663047,True,Eskimo_Dog,0.207779,True,Tibetan_Mastiff,0.0409488,True
828011680017821696,11,10,Brutus,,2017,February,Saturday,11411,2451,1,American_Staffordshire_Terrier,0.936662,True,Staffordshire_Bullterrier,0.0329990999999999,True,Bull_Mastiff,0.0171834,True
827933404142436356,12,10,Kona,pupper,2017,February,Saturday,22180,5987,2,German_Shepherd,0.8061149999999999,True,Tibetan_Mastiff,0.104831,True,Kelpie,0.0381482,True
827653905312006145,12,10,Boots,,2017,February,Friday,16983,3433,1,Collie,0.285555,True,Border_Collie,0.217306,True,Saint_Bernard,0.143245,True
827600520311402496,13,10,Tucker,,2017,February,Friday,8143,1082,1,Pembroke,0.325638,True,Golden_Retriever,0.317235,True,Labrador_Retriever,0.116087,True
827324948884643840,12,10,Ralphie,,2017,February,Friday,17523,3510,1,Golden_Retriever,0.352486,True,Toy_Poodle,0.178884,True,Labrador_Retriever,0.0841643999999999,True
827199976799354881,13,10,Charlie,,2017,February,Thursday,11659,2579,4,Great_Dane,0.8696809999999999,True,American_Staffordshire_Terrier,0.0266582,True,Boxer,0.0198660999999999,True
826958653328592898,12,10,Loki,doggo,2017,February,Thursday,23767,5757,1,Golden_Retriever,0.6173890000000001,True,Labrador_Retriever,0.337053,True,Tennis_Ball,0.00855442,False
826848821049180160,13,10,Cupid,doggo,2017,February,Wednesday,40325,11878,4,Great_Pyrenees,0.858764,True,Golden_Retriever,0.0235257,True,Pekinese,0.0171039,True
826598365270007810,13,10,Pawnd,,2017,February,Wednesday,11117,2709,1,French_Bulldog,0.628119,True,Siamese_Cat,0.117397,False,Cougar,0.0827648999999999,False
826476773533745153,12,10,Pilot,doggo,2017,January,Tuesday,20275,4821,1,German_Shepherd,0.7418600000000001,True,Tibetan_Mastiff,0.1228119999999999,True,Kelpie,0.10046,True
826240494070030336,11,10,,,2017,January,Tuesday,14614,2965,1,French_Bulldog,0.903048,True,Pug,0.0962421,True,Boston_Bull,0.000234364,True
826204788643753985,13,10,,doggo,2017,January,Monday,5361,1075,2,Labrador_Retriever,0.782058,True,Golden_Retriever,0.156581,True,Soft-Coated_Wheaten_Terrier,0.00727512,True
826115272272650244,13,10,Ike,,2017,January,Monday,17299,3599,1,Tennis_Ball,0.997071,False,Golden_Retriever,0.00233085,True,Kuvasz,0.000283472,True
825829644528148480,12,10,Toby,,2017,January,Sunday,14025,2848,2,Great_Pyrenees,0.8534069999999999,True,Golden_Retriever,0.0535313,True,English_Setter,0.0458299,True
825535076884762624,14,10,,puppo,2017,January,Sunday,56413,19669,1,Rottweiler,0.681495,True,Tibetan_Mastiff,0.14794,True,Black-And-Tan_Coonhound,0.0245252,True
825147591692263424,13,10,Sweet,,2017,January,Saturday,20181,5244,1,Pekinese,0.354823,True,Pomeranian,0.24539,True,Toy_Poodle,0.136545,True
825026590719483904,12,10,Pablo,puppo,2017,January,Friday,7020,1483,2,Eskimo_Dog,0.524454,True,Siberian_Husky,0.467678,True,Malamute,0.00497584,True
824775126675836928,12,10,Scooter,,2017,January,Friday,16508,4069,1,Border_Terrier,0.610499,True,Malinois,0.0902911999999999,True,Airedale,0.0686247,True
